Name,Direct downloads,Indirect downloads,Total
Rcpp,68962,383978,452940
R6,191397,235869,427266
tibble,42433,357818,400251
ggplot2,118819,273909,392728
stringi,35783,288642,324425
stringr,35336,284097,319433
curl,118778,190638,309416
lazyeval,11388,293455,304843
digest,20235,280828,301063
DBI,46767,241579,288346
jsonlite,27546,253646,281192
plyr,31383,245962,277345
magrittr,16450,254543,270993
reshape2,31906,230319,262225
scales,23858,231565,255423
BH,35957,217080,253037
htmltools,21334,229570,250904
assertthat,32306,217559,249865
RColorBrewer,26929,221510,248439
colorspace,15049,220969,236018
knitr,11455,209107,220562
dplyr,93201,125868,219069
mime,18434,198905,217339
munsell,19978,196739,216717
gtable,16098,200241,216339
labeling,20589,191165,211754
dichromat,8428,202744,211172
markdown,9454,194910,204364
yaml,20674,174731,195405
memoise,77870,114113,191983
backports,35080,147799,182879
rmarkdown,13885,163192,177077
evaluate,16301,159907,176208
httr,12519,163650,176169
data.table,66378,108778,175156
readr,119770,54582,174352
base64enc,20760,151430,172190
XML,93408,78104,171512
tidyr,83696,85969,169665
openssl,20350,148870,169220
bitops,9464,157109,166573
devtools,122266,42299,164565
shiny,51225,110319,161544
highr,17103,142822,159925
zoo,21018,135549,156567
rJava,40921,109880,150801
RcppEigen,27475,123173,150648
rlang,16747,133555,150302
lme4,27164,118087,145251
caTools,27063,117731,144794
xtable,24068,120485,144553
car,57355,80022,137377
SparseM,15264,120832,136096
htmlwidgets,8479,125245,133724
Hmisc,42331,90436,132767
quantreg,14636,113968,128604
hms,13101,114487,127588
sourcetools,12944,114018,126962
viridisLite,97785,28103,125888
rprojroot,14058,111607,125665
lubridate,86934,38052,124986
gridExtra,28611,93600,122211
readxl,78657,39188,117845
viridis,23551,91146,114697
foreach,4013,107579,111592
iterators,6009,105168,111177
psych,63109,47821,110930
httpuv,11315,99202,110517
RcppArmadillo,27476,82303,109779
nloptr,11735,97274,109009
pbkrtest,5821,101622,107443
Matrix,33529,70403,103932
minqa,10866,92837,103703
tidyverse,100186,2638,102824
formatR,50930,51186,102116
mvtnorm,11857,88771,100628
foreign,69661,30854,100515
cellranger,9641,90768,100409
MatrixModels,4425,95003,99428
rematch,5170,93763,98933
MASS,20431,78074,98505
RCurl,23487,71253,94740
purrr,18815,72985,91800
rstudioapi,10191,81201,91392
git2r,10531,80656,91187
survival,11842,79179,91021
withr,2806,87963,90769
whisker,11345,79041,90386
lmtest,32939,53061,86e3
forecast,35539,49226,84765
irlba,31495,52584,84079
gtools,8586,74701,83287
RODBC,78929,4064,82993
Formula,8862,74072,82934
sp,8677,73697,82374
e1071,35606,46247,81853
latticeExtra,10355,70271,80626
gdata,6690,72602,79292
mnormt,8329,70112,78441
checkmate,4317,73633,77950
htmlTable,8211,69528,77739
xml2,8510,68426,76936
rpart,43280,33501,76781
igraph,29751,45915,75666
acepack,10207,65347,75554
doParallel,13129,61849,74978
caret,52543,19626,72169
lattice,9593,59942,69535
testthat,816,67598,68414
sandwich,6131,61583,67714
registry,2938,63811,66749
RMySQL,57653,7438,65091
pkgmaker,1567,62693,64260
crayon,7608,56571,64179
rngtools,8560,55532,64092
NMF,8990,55014,64004
gridBase,10980,51734,62714
RSQLite,12935,49484,62419
quadprog,7229,54295,61524
xlsx,58452,2842,61294
gplots,23975,35472,59447
boot,40607,17875,58482
rgl,20361,37932,58293
tseries,14027,44257,58284
cluster,35155,21556,56711
praise,6333,49013,55346
plogr,5628,49264,54892
abind,6810,47529,54339
rjson,15035,38656,53691
plotly,36378,17293,53671
maps,9148,44419,53567
png,8982,44477,53459
coda,4887,48350,53237
randomForest,32113,21080,53193
xts,5329,47295,52624
broom,15189,37403,52592
mclust,23766,28768,52534
glmnet,34884,17282,52166
reshape,18919,32766,51685
rvest,18986,31706,50692
multcomp,12827,37080,49907
crosstalk,8542,40856,49398
xlsxjars,11041,37881,48922
haven,18167,30742,48909
tm,18445,30353,48798
TH.data,7414,41202,48616
hexbin,7298,41196,48494
flexmix,19719,28065,47784
modeltools,4074,43618,47692
nlme,6047,40583,46630
expsmooth,6769,38293,45062
plotrix,25148,19746,44894
robustbase,6591,38009,44600
chron,5526,38951,44477
scatterplot3d,18223,25691,43914
rgdal,15324,28393,43717
kernlab,10158,32951,43109
selectr,4189,38499,42688
DEoptimR,6396,35487,41883
ModelMetrics,4331,37057,41388
proto,4650,36693,41343
maptools,7824,33020,40844
jpeg,8021,32419,40440
timeDate,3696,36475,40171
wordcloud,33164,6652,39816
mgcv,23827,15476,39303
quantmod,28313,9626,37939
RJSONIO,12973,24726,37699
leaps,15418,21910,37328
expm,6826,28841,35667
numDeriv,2875,32547,35422
raster,11494,23634,35128
slam,4121,30567,34688
matrixStats,26108,7396,33504
forcats,5922,27509,33431
modelr,3103,29572,32675
DT,18748,13659,32407
NLP,5821,26005,31826
fpc,4725,26968,31693
packrat,16523,14808,31331
mapproj,2478,27676,30154
ggmap,27970,1730,29700
dendextend,8248,21422,29670
vcd,8751,20722,29473
brew,6005,23354,29359
diptest,1931,27162,29093
TTR,8657,20394,29051
deldir,5248,23625,28873
gmodels,14948,13922,28870
fracdiff,4128,24432,28560
rgeos,7155,21383,28538
ROCR,11904,16627,28531
fields,11417,16925,28342
prabclus,3953,24266,28219
R.methodsS3,4992,22811,27803
corrplot,24470,3304,27774
trimcluster,3305,24441,27746
rsconnect,24835,2142,26977
vegan,9677,17011,26688
geosphere,5943,20466,26409
bit,6063,20200,26263
snow,18643,7299,25942
bit64,11764,13971,25735
coin,3779,21618,25397
ape,8705,16379,25084
arm,7342,17563,24905
R.utils,8449,15956,24405
party,14423,9980,24403
R.oo,1912,22442,24354
rpart.plot,18156,5975,24131
ellipse,5041,18914,23955
spdep,7987,15893,23880
swirl,23565,243,23808
strucchange,1767,21701,23468
XLConnect,23042,336,23378
sqldf,22437,922,23359
futile.logger,19272,3939,23211
SnowballC,7696,15463,23159
roxygen2,8908,14157,23065
installr,22549,199,22748
XLConnectJars,2753,19868,22621
locfit,15699,6780,22479
GGally,15787,6515,22302
ade4,10433,11855,22288
lambda.r,1567,20584,22151
RgoogleMaps,4676,17460,22136
fpp,2017,20002,22019
fma,1448,20529,21977
sem,8960,12947,21907
pROC,14262,7601,21863
corpcor,7161,14499,21660
covr,689,20499,21188
combinat,4157,16846,21003
seriation,6387,14424,20811
futile.options,1185,19620,20805
codetools,13827,6733,20560
RWeka,15048,5496,20544
rattle,19788,714,20502
progress,18706,1796,20502
prettyunits,1306,18772,20078
ggrepel,9631,10217,19848
mice,10507,9326,19833
ggthemes,16460,3009,19469
PKI,2365,16923,19288
mlbench,8304,10674,18978
stringdist,9069,9837,18906
spam,2729,16123,18852
Rcmdr,7592,11140,18732
effects,10579,8101,18680
arules,11449,7205,18654
rex,3246,15335,18581
rms,5755,12470,18225
gsubfn,3519,14667,18186
permute,3723,14281,18004
FNN,5427,12528,17955
nortest,12631,4981,17612
commonmark,5255,12259,17514
timeSeries,2926,14568,17494
desc,4780,12684,17464
nycflights13,10340,6813,17153
gbm,11042,5905,16947
pryr,13089,3734,16823
miniUI,4835,11954,16789
nnet,5958,10740,16698
RPostgreSQL,11279,5374,16653
matrixcalc,3784,12630,16414
rappdirs,7376,8771,16147
fastmatch,3356,12747,16103
LearnBayes,3759,12331,16090
FactoMineR,9261,6787,16048
gclus,3207,12727,15934
pls,6180,9752,15932
openxlsx,13024,2848,15872
leaflet,11482,4277,15759
lpSolve,4366,11317,15683
TSP,3236,12401,15637
RGtk2,5227,10218,15445
hunspell,6551,8744,15295
lavaan,3769,11364,15133
openNLPdata,7593,7479,15072
klaR,6888,8106,14994
arulesViz,9560,5430,14990
fBasics,2687,12286,14973
qap,2708,12073,14781
shinydashboard,14201,556,14757
tcltk2,3733,10837,14570
mi,2920,11579,14499
moments,12541,1917,14458
StanHeaders,2623,11834,14457
RWekajars,6026,8328,14354
stabledist,2536,11761,14297
VGAM,6916,7299,14215
RcmdrMisc,3052,11108,14160
plm,7922,6232,14154
tree,11512,2609,14121
Cairo,9944,4032,13976
visNetwork,7319,6391,13710
AER,5572,8121,13693
neuralnet,11463,2225,13688
network,2018,11600,13618
misc3d,1476,12127,13603
relimp,1842,11742,13584
lsmeans,8139,5399,13538
segmented,6771,6734,13505
gss,3305,10187,13492
cubature,7311,6099,13410
stargazer,12806,326,13132
PerformanceAnalytics,8851,4234,13085
twitteR,12364,638,13002
TeachingDemos,3903,9059,12962
DiagrammeR,8832,3954,12786
xgboost,11972,708,12680
ISLR,12647,5,12652
remotes,12587,30,12617
survey,4480,8099,12579
sna,1646,10926,12572
proxy,4306,8236,12542
gam,5723,6758,12481
gdtools,3250,9195,12445
Lahman,7074,5284,12358
RUnit,1230,11082,12312
urca,4444,7807,12251
statmod,7125,5090,12215
sf,6095,6079,12174
flashClust,1571,10594,12165
KoNLP,12146,9,12155
class,8523,3613,12136
deSolve,5343,6754,12097
partykit,5263,6804,12067
bdsmatrix,2007,9925,11932
uuid,4989,6781,11770
spatstat,4855,6905,11760
archdata,11698,0,11698
pcaPP,2094,9568,11662
sparklyr,11228,389,11617
prodlim,1512,10048,11560
h2o,10918,520,11438
lava,1251,10132,11383
Rook,1443,9888,11331
rjags,7126,4169,11295
shinyjs,5216,5999,11215
rgexf,4886,6304,11190
manipulate,7387,3796,11183
corrgram,10094,1073,11167
ipred,3510,7626,11136
qdap,8006,3014,11020
rstan,4898,6114,11012
udunits2,1171,9828,10999
units,2614,8366,10980
earth,1489,9438,10927
VIM,6454,4461,10915
RJDBC,10159,698,10857
statnet.common,384,10467,10851
animation,5793,4998,10791
goftest,5275,5471,10746
gmp,3481,7221,10702
spatstat.utils,10496,163,10659
classInt,4890,5699,10589
agricolae,9588,950,10538
ks,4396,6124,10520
plotmo,3802,6563,10365
polspline,2050,8277,10327
pbivnorm,1402,8899,10301
ggsci,1854,8422,10276
microbenchmark,3224,6988,10212
gstat,2195,7942,10137
influenceR,4268,5794,10062
lintr,3210,6767,9977
V8,3714,6228,9942
miscTools,2289,7619,9908
RANN,3980,5887,9867
hash,6005,3854,9859
googleVis,8089,1587,9676
fitdistrplus,8406,1267,9673
downloader,8473,1190,9663
ggpubr,2645,7009,9654
itertools,1187,8378,9565
pander,6041,3516,9557
extrafont,6556,2943,9499
config,4938,4502,9440
inline,1786,7639,9425
aplpack,7072,2259,9331
GlobalOptions,3645,5625,9270
truncnorm,2212,7052,9264
getopt,4837,4406,9243
dtplyr,5035,4207,9242
StatMatch,8845,363,9208
rrcov,2950,6188,9138
ggvis,8647,335,8982
pbapply,4135,4824,8959
pracma,7688,1232,8920
ff,2938,5939,8877
ggdendro,3181,5672,8853
pastecs,8587,215,8802
seqinr,5913,2880,8793
polyclip,1097,7678,8775
lmerTest,6198,2474,8672
openNLP,3714,4947,8661
msm,3333,5328,8661
splancs,2897,5763,8660
filehash,3230,5418,8648
maxLik,2534,6051,8585
fGarch,6227,2352,8579
svglite,2027,6488,8515
actuar,6660,1853,8513
BDgraph,8247,102,8349
vars,6414,1934,8348
mcmc,2985,5338,8323
webshot,2926,5313,8239
ncdf4,5343,2891,8234
MCMCpack,3941,4262,8203
shape,1934,6250,8184
mosaic,2784,5393,8177
C50,6226,1895,8121
gsl,2515,5594,8109
lars,3232,4819,8051
sm,3415,4620,8035
pwr,7141,855,7996
RcppParallel,2201,5791,7992
spacetime,1542,6421,7963
intervals,1516,6438,7954
qgraph,3045,4905,7950
GPArotation,3450,4491,7941
dygraphs,5919,2013,7932
rticles,7914,12,7926
rugarch,6254,1649,7903
doBy,6388,1512,7900
estimability,1220,6652,7872
shinythemes,5934,1936,7870
RcppProgress,1625,6208,7833
sfsmisc,1723,6074,7797
mapdata,2924,4866,7790
pscl,5650,2116,7766
optparse,7714,5,7719
pacman,7617,65,7682
crul,3217,4464,7681
multicool,1298,6350,7648
AlgDesign,1143,6490,7633
OpenMx,3658,3962,7620
ucminf,1577,6029,7606
cowplot,7348,231,7579
ggplot2movies,2098,5452,7550
TSA,6324,1134,7458
laeken,1342,6049,7391
rversions,2310,5071,7381
KernSmooth,2523,4846,7369
functional,6366,886,7252
Rsolnp,1664,5576,7240
topicmodels,5677,1557,7234
tau,1038,6168,7206
np,5605,1586,7191
fmsb,7146,5,7151
circlize,3399,3731,7130
extrafontdb,412,6709,7121
pheatmap,6834,285,7119
fdrtool,1877,5138,7015
Rttf2pt1,992,5970,6962
faraway,6046,900,6946
cairoDevice,2887,3997,6884
akima,2874,4005,6879
factoextra,6693,181,6874
dismo,4560,2255,6815
gapminder,5163,1629,6792
BMA,5891,878,6769
ggfortify,6748,1,6749
mda,1268,5450,6718
cmprsk,3108,3608,6716
ranger,4956,1744,6700
officer,6692,0,6692
Rmpfr,1324,5363,6687
Amelia,5293,1385,6678
ggm,1845,4816,6661
fastICA,1749,4864,6613
huge,1745,4866,6611
Rserve,5492,1045,6537
pbdZMQ,6467,41,6508
spatial,6036,356,6392
epitools,3688,2703,6391
mixOmics,4436,1904,6340
fastcluster,4164,2135,6299
tidytext,5841,449,6290
BBmisc,2092,4183,6275
tkrplot,1202,5029,6231
PowerTOST,6111,109,6220
janeaustenr,1050,5167,6217
rgenoud,1589,4617,6206
dataRetrieval,6083,113,6196
tensor,1326,4832,6158
doRNG,4884,1244,6128
perm,511,5610,6121
RandomFields,2165,3924,6089
eha,5178,905,6083
mosaicData,628,5450,6078
dummies,5923,147,6070
plot3D,5234,814,6048
DescTools,4388,1651,6039
hwriter,4625,1388,6013
gmailr,1112,4886,5998
interval,5777,213,5990
geepack,1997,3990,5987
ca,4358,1585,5943
imager,5905,26,5931
gamlss,559,5351,5910
UsingR,5884,4,5888
rio,5417,454,5871
drat,5868,0,5868
Cubist,1190,4658,5848
repr,2557,3279,5836
base64,4067,1749,5816
RandomFieldsUtils,412,5383,5795
future,4446,1338,5784
glasso,745,4985,5730
mapview,3160,2561,5721
DAAG,4242,1468,5710
urltools,1490,4205,5695
mailR,5664,0,5664
LTRCtrees,5641,0,5641
DMwR,5570,54,5624
CFC,5619,0,5619
Quandl,4443,1159,5602
memisc,3963,1630,5593
Rfacebook,5399,160,5559
bookdown,5118,383,5501
tokenizers,926,4562,5488
dynlm,2195,3283,5478
triebeard,311,5166,5477
Rglpk,2878,2598,5476
Rtsne,5381,94,5475
quanteda,4645,830,5475
multcompView,2213,3257,5470
crs,5375,91,5466
bibliometrix,5441,0,5441
Matching,1893,3542,5435
d3Network,1320,4113,5433
R2HTML,2256,3174,5430
RSpectra,1267,4153,5420
phangorn,2507,2909,5416
testit,1920,3494,5414
DistributionUtils,552,4844,5396
AID,5390,0,5390
mboost,1846,3535,5381
wordcloud2,4896,480,5376
networkD3,4709,664,5373
glmmML,4451,922,5373
ROAuth,2116,3257,5373
sampling,4948,415,5363
semTools,2292,3069,5361
zip,1077,4264,5341
MatchIt,3670,1653,5323
VennDiagram,4992,315,5307
pdftools,3721,1580,5301
polycor,1774,3518,5292
bbmle,3257,2021,5278
brms,4483,788,5271
optimx,2438,2833,5271
MuMIn,4593,637,5230
rlist,2244,2981,5225
fda,1717,3473,5190
dplR,5037,134,5171
data.tree,4636,524,5160
rworldmap,4315,810,5125
Epi,3728,1392,5120
GeneralizedHyperbolic,457,4660,5117
qdapRegex,1658,3441,5099
systemfit,1814,3258,5072
polynom,1618,3439,5057
geoR,1785,3251,5036
SkewHyperbolic,566,4466,5032
pamr,1437,3591,5028
BSDA,3272,1748,5020
sendmailR,4002,1014,5016
BB,1880,3132,5012
sjmisc,785,4216,5001
ISwR,2527,2456,4983
mlogit,3387,1585,4972
rasterVis,1883,3077,4960
ffbase,2255,2695,4950
amap,3195,1744,4939
tmap,1723,3206,4929
bmp,511,4405,4916
magick,3204,1709,4913
cba,3315,1589,4904
magic,1255,3645,4900
rpf,987,3913,4900
descr,3683,1183,4866
colourpicker,1740,3124,4864
R.rsp,1017,3829,4846
Zelig,2207,2602,4809
shapefiles,1611,3172,4783
sde,4542,238,4780
robust,2307,2466,4773
readbitmap,621,4144,4765
BradleyTerry2,1170,3561,4731
loo,993,3699,4692
gWidgetsRGtk2,850,3838,4688
bayesLife,4473,214,4687
googlesheets,4686,0,4686
HistData,1453,3224,4677
dtt,2954,1717,4671
FSA,3775,874,4649
brglm,951,3697,4648
svUnit,740,3904,4644
IRdisplay,3656,968,4624
aws.s3,4058,527,4585
vioplot,3781,788,4569
RSelenium,3277,1287,4564
semPlot,1445,3093,4538
geojsonio,1776,2749,4525
gWidgets,927,3594,4521
cvTools,1879,2637,4516
tables,1829,2681,4510
KMsurv,1584,2902,4486
gridSVG,3733,744,4477
bayesplot,886,3591,4477
texreg,3249,1207,4456
sjPlot,1194,3256,4450
BiodiversityR,4448,0,4448
setRNG,843,3603,4446
minpack.lm,2392,2053,4445
astsa,4356,80,4436
readstata13,4435,0,4435
betareg,1560,2870,4430
ergm,667,3757,4424
fftwtools,3800,604,4404
gdalUtils,1660,2735,4395
ada,2037,2351,4388
R.matlab,3966,410,4376
ez,4162,203,4365
nleqslv,3938,422,4360
tis,648,3700,4348
flexclust,2223,2110,4333
biglm,1072,3254,4326
kknn,2854,1459,4313
snowfall,2521,1776,4297
clue,1785,2504,4289
gee,1500,2786,4286
modeest,2591,1693,4284
unmarked,2778,1498,4276
sgeostat,902,3357,4259
venneuler,1399,2836,4235
NbClust,4174,33,4207
mirt,2534,1656,4190
rstanarm,1377,2812,4189
mixtools,4116,67,4183
grpreg,3848,332,4180
MLmetrics,1226,2939,4165
rvg,1133,3023,4156
dfoptim,1044,3080,4124
rnoaa,4110,6,4116
Ecdat,1116,2971,4087
flexdashboard,4084,0,4084
entropy,2145,1922,4067
CircStats,1323,2734,4057
outliers,3793,256,4049
gamlss.dist,881,3163,4044
aod,3507,534,4041
mvoutlier,2473,1566,4039
markovchain,3723,312,4035
ordinal,1750,2278,4028
tigris,2378,1638,4016
highcharter,4014,0,4014
rbenchmark,1302,2682,3984
spd,671,3308,3979
optextras,521,3458,3979
qdapTools,1149,2796,3945
nnls,1110,2828,3938
dynamicTreeCut,1807,2128,3935
tmaptools,818,3111,3929
calibrate,3546,382,3928
R2WinBUGS,1116,2800,3916
pegas,2334,1580,3914
fit.models,1151,2749,3900
shinyBS,3181,714,3895
iplots,1288,2598,3886
copula,2256,1620,3876
sjstats,195,3681,3876
httpcode,447,3407,3854
dtw,1591,2260,3851
Rvmmin,782,3064,3846
mlr,3049,790,3839
Rcgmin,687,3146,3833
survminer,3816,0,3816
sn,1627,2182,3809
blme,798,3010,3808
qcc,3339,453,3792
tiff,3137,645,3782
MNP,3781,0,3781
Rmisc,3755,25,3780
subselect,834,2936,3770
bootstrap,3278,481,3759
bigmemory,1283,2471,3754
robCompositions,842,2902,3744
shinystan,421,3323,3744
Sejong,251,3482,3733
adabag,2851,879,3730
rockchalk,1312,2416,3728
geometry,1342,2374,3716
exactRankTests,1279,2430,3709
RTextTools,3684,15,3699
evd,1720,1976,3696
trust,1032,2655,3687
profileModel,964,2723,3687
pixmap,1014,2647,3661
highlight,1099,2561,3660
Metrics,3641,16,3657
lsr,3629,15,3644
rstantools,176,3468,3644
ReporteRs,3353,268,3621
kohonen,2768,831,3599
beeswarm,1828,1771,3599
pmml,1368,2216,3584
ineq,2748,829,3577
HSAUR,2555,1021,3576
profvis,3566,6,3572
energy,1561,2011,3572
networkDynamic,291,3264,3555
aws.signature,2307,1244,3551
biclust,1747,1795,3542
signal,1911,1620,3531
mc2d,1382,2149,3531
matlab,2126,1391,3517
Rmpi,1375,2132,3507
RVAideMemoire,2517,989,3506
maxent,838,2664,3502
statnet,324,3174,3498
randomForestSRC,1737,1757,3494
syuzhet,1798,1695,3493
date,2347,1144,3491
gender,936,2553,3489
dunn.test,1729,1754,3483
metafor,2437,1045,3482
jsonvalidate,607,2875,3482
mitools,337,3135,3472
BiasedUrn,1827,1641,3468
nanotime,1218,2238,3456
MBESS,1347,2089,3436
stabs,1274,2160,3434
gamlss.data,995,2433,3428
coxme,1121,2304,3425
pgirmess,2961,456,3417
spls,839,2577,3416
sciplot,1671,1741,3412
merTools,919,2484,3403
pkgconfig,3389,3,3392
rredis,2425,967,3392
qdapDictionaries,630,2761,3391
R2jags,2406,969,3375
doMC,2499,873,3372
geojsonlint,3177,192,3369
tikzDevice,1541,1828,3369
GGIR,3368,0,3368
rmapshaper,1053,2299,3352
heatmaply,1786,1561,3347
satellite,939,2406,3345
sROC,495,2849,3344
wdman,705,2632,3337
expint,733,2601,3334
missForest,2371,960,3331
bigmemory.sri,506,2825,3331
SDMTools,2610,717,3327
rpanel,798,2525,3323
sas7bdat,3091,228,3319
kdecopula,2353,965,3318
clusterSim,2719,592,3311
rscala,2685,626,3311
WriteXLS,3206,93,3299
adegenet,1429,1859,3288
FSelector,2886,390,3276
GetoptLong,3258,12,3270
rggobi,1811,1448,3259
ltm,2519,719,3238
AICcmodavg,2245,992,3237
gistr,1647,1590,3237
survMisc,757,2479,3236
pvclust,2460,774,3234
MCMCglmm,1998,1231,3229
km.ci,547,2681,3228
imputeTS,3108,117,3225
R.cache,736,2484,3220
RH2,2737,459,3196
superpc,791,2404,3195
HardyWeinberg,2717,474,3191
d3heatmap,1250,1934,3184
FinTS,3086,85,3171
gmm,1696,1470,3166
lda,1252,1910,3162
servr,2372,785,3157
som,1411,1746,3157
reports,461,2691,3152
heplots,1303,1842,3145
Ecfun,765,2367,3132
feather,2657,467,3124
HH,2799,304,3103
threejs,1434,1668,3102
glue,3051,49,3100
QuantPsyc,3099,0,3099
phytools,682,2414,3096
maxstat,849,2241,3090
pkgKitten,604,2486,3090
WGCNA,2910,165,3075
ParamHelpers,529,2538,3067
gnm,1023,2029,3052
pspline,944,2092,3036
treemap,2906,129,3035
tensorA,890,2138,3028
qvcalc,1105,1915,3020
PBSmapping,1014,1985,2999
HSAUR2,1328,1669,2997
corpus,2993,3,2996
bindrcpp,2995,0,2995
ReporteRsjars,696,2282,2978
dbscan,2839,136,2975
ADGofTest,959,2011,2970
GA,2028,935,2963
nor1mix,2154,797,2951
DoE.base,837,2112,2949
SuppDists,1656,1292,2948
parallelMap,415,2516,2931
epiR,2646,283,2929
timereg,1313,1616,2929
plotKML,2307,611,2918
tergm,287,2631,2918
osmar,903,2003,2906
bibtex,715,2185,2900
rentrez,1122,1774,2896
RGtk2Extras,1395,1498,2893
alr3,1378,1515,2893
Kendall,1306,1568,2874
afex,1889,983,2872
binman,285,2581,2866
doSNOW,2457,401,2858
vcdExtra,1116,1732,2848
bindr,203,2632,2835
poLCA,1632,1201,2833
mstate,743,2083,2826
semver,368,2458,2826
penalized,1619,1205,2824
reticulate,1424,1398,2822
bayesm,1150,1665,2815
PortfolioAnalytics,2813,0,2813
clusterGeneration,1210,1594,2804
AUC,2111,689,2800
subprocess,362,2434,2796
mvnormtest,1642,1139,2781
logistf,2736,43,2779
ElemStatLearn,2602,177,2779
CompQuadForm,1764,1015,2779
CORElearn,1347,1431,2778
glmmLasso,2776,0,2776
tufte,1127,1644,2771
tripack,800,1967,2767
RcppCCTZ,794,1973,2767
useful,1587,1178,2765
colorRamps,1785,978,2763
aSPU,2746,5,2751
subplex,935,1814,2749
