Name,Direct downloads,Indirect downloads,Total
itcSegment,346,0,346
DMwR2,346,0,346
datasauRus,346,0,346
BLR,341,5,346
MonetDBLite,341,5,346
penalizedSVM,313,33,346
trip,254,92,346
TSsql,245,101,346
readMzXmlData,208,138,346
boxr,345,0,345
lindia,345,0,345
spacyr,344,0,344
RODBCDBI,344,0,344
ezknitr,344,0,344
translateR,344,0,344
mgm,248,96,344
aster,78,266,344
ibr,343,0,343
sdm,343,0,343
fame,322,21,343
ropenaq,253,90,343
loa,221,122,343
kdevine,342,0,342
simr,342,0,342
QoLR,342,0,342
kmeans.ddR,342,0,342
CCP,341,1,342
trustOptim,339,3,342
futile.matrix,278,64,342
BiBitR,277,65,342
grofit,341,0,341
SuperExactTest,341,0,341
alakazam,310,31,341
copBasic,286,55,341
GAS,340,0,340
adaptivetau,340,0,340
tseriesEntropy,340,0,340
lambda.tools,169,171,340
itsadug,339,0,339
ANOVAreplication,339,0,339
nsprcomp,339,0,339
osrm,339,0,339
fgac,339,0,339
Rlinkedin,339,0,339
x12GUI,339,0,339
rUnemploymentData,339,0,339
mAr,307,32,339
mapmisc,265,74,339
mapmisc,265,74,339
forecTheta,261,78,339
ForecastCombinations,244,95,339
panelAR,338,0,338
ARTool,338,0,338
Paneldata,338,0,338
kmi,274,64,338
crossval,271,67,338
SpatialPosition,268,70,338
rebus,47,291,338
immer,337,0,337
gRapHD,337,0,337
EMMREML,337,0,337
fastTextR,337,0,337
clusterfly,337,0,337
heavy,311,26,337
equateIRT,260,77,337
decompr,216,121,337
PortfolioEffectHFT,212,125,337
postGIStools,336,0,336
swirlify,336,0,336
DandEFA,336,0,336
catspec,336,0,336
Rmalschains,305,31,336
RArcInfo,244,92,336
difNLR,237,99,336
striprtf,335,0,335
rdist,335,0,335
shinyWidgets,335,0,335
AMOEBA,335,0,335
mhurdle,335,0,335
SCVA,253,82,335
rnaturalearth,334,0,334
preseqR,334,0,334
OrgMassSpecR,334,0,334
checkarg,334,0,334
r4ss,257,77,334
spatialCovariance,240,94,334
cooccur,333,0,333
drake,333,0,333
BaM,333,0,333
bayesSurv,327,6,333
fxregime,323,10,333
drgee,322,11,333
minerva,311,22,333
binda,291,42,333
poilog,238,95,333
rgp,227,106,333
Bchron,162,171,333
NlcOptim,332,0,332
factorstochvol,332,0,332
clifro,332,0,332
PogromcyDanych,277,55,332
monitoR,232,100,332
crmn,209,123,332
geospt,205,127,332
geomapdata,99,233,332
RHRV,331,0,331
colortools,331,0,331
searchConsoleR,331,0,331
bayesmeta,331,0,331
akmeans,331,0,331
xpose4,329,2,331
depth,318,13,331
evdbayes,295,36,331
topmodel,216,115,331
HaploSim,152,179,331
ROI.plugin.symphony,131,200,331
REdaS,330,0,330
nephro,330,0,330
ContaminatedMixt,261,69,330
hier.part,329,0,329
ramps,329,0,329
mvProbit,329,0,329
pathological,329,0,329
Reol,329,0,329
mlVAR,329,0,329
kgschart,329,0,329
seas,320,9,329
Bolstad2,317,12,329
partDSA,249,80,329
blmeco,328,0,328
deseasonalize,328,0,328
rmetasim,324,4,328
GLDEX,211,117,328
phyloclim,327,0,327
frm,327,0,327
reshapeGUI,327,0,327
catR,196,131,327
VIMGUI,326,0,326
benchmark,326,0,326
depmix,326,0,326
lidR,326,0,326
coppeCosenzaR,326,0,326
hot.deck,316,10,326
LowRankQP,244,82,326
pwr2,325,0,325
tadaatoolbox,325,0,325
sadists,270,55,325
obliqueRF,270,55,325
fgui,248,77,325
multigraph,145,180,325
WebGestaltR,324,0,324
samplesize,324,0,324
mvShapiroTest,322,2,324
fractaldim,316,8,324
season,315,9,324
lfstat,255,69,324
scrypt,211,113,324
breathteststan,323,0,323
USAboundaries,323,0,323
rela,323,0,323
MatrixEQTL,318,5,323
sparr,309,14,323
fANCOVA,228,95,323
Renext,185,138,323
devRate,322,0,322
elrm,322,0,322
ccRemover,322,0,322
LinRegInteractive,322,0,322
sgof,322,0,322
blockTools,313,9,322
SSN,298,24,322
nadiv,264,58,322
argparser,321,0,321
ahp,321,0,321
CreditMetrics,321,0,321
AcceptanceSampling,317,4,321
spcosa,244,77,321
RobAStBase,56,265,321
bedr,320,0,320
Rchoice,320,0,320
rangeMapper,320,0,320
xtractomatic,320,0,320
DataGraph,319,0,319
rwt,319,0,319
BenfordTests,319,0,319
IRTShiny,319,0,319
datapasta,319,0,319
RcppClassic,210,109,319
classify,318,0,318
bujar,318,0,318
LARF,318,0,318
rdryad,318,0,318
mixsmsn,315,3,318
strataG,305,13,318
QCAGUI,36,282,318
sqlutils,317,0,317
caschrono,317,0,317
hht,317,0,317
climatol,317,0,317
psidR,317,0,317
statar,317,0,317
MALDIquantForeign,317,0,317
scrime,316,1,317
profr,300,17,317
filesstrings,269,48,317
st,266,51,317
TreePar,96,221,317
fasjem,316,0,316
RcmdrPlugin.ROC,316,0,316
cIRT,316,0,316
pwt9,316,0,316
Agreement,316,0,316
SetMethods,316,0,316
pxR,315,1,316
CVST,241,75,316
imputeYn,217,99,316
HMP,118,198,316
RcppAnnoy,315,0,315
bisoreg,315,0,315
sigclust,315,0,315
BurStFin,315,0,315
boral,315,0,315
equivalence,312,3,315
fmri,300,15,315
RoughSets,314,0,314
PAFit,314,0,314
ParallelForest,314,0,314
gamlss.mx,314,0,314
scholar,314,0,314
diseasemapping,314,0,314
RSurvey,314,0,314
pmclust,314,0,314
IPSUR,314,0,314
AhoCorasickTrie,312,2,314
CDNmoney,289,25,314
MCPAN,238,76,314
micEconCES,313,0,313
NSM3,313,0,313
BayesVarSel,313,0,313
convevol,313,0,313
HiveR,313,0,313
aods3,308,5,313
distrMod,68,245,313
roadoi,312,0,312
camtrapR,312,0,312
hydroPSO,312,0,312
hydroPSO,312,0,312
SigTree,312,0,312
iotools,262,50,312
spc,244,68,312
Luminescence,232,80,312
fscaret,311,0,311
RImpala,311,0,311
ReacTran,260,51,311
gvc,190,121,311
PCPS,310,0,310
cat,310,0,310
quickmatch,310,0,310
asaur,310,0,310
deepboost,310,0,310
Bmix,310,0,310
TransModel,310,0,310
diagonals,242,68,310
PANICr,309,0,309
lgcp,309,0,309
HMPTrees,309,0,309
ModelMap,309,0,309
glinternet,309,0,309
ArDec,309,0,309
gitlabr,309,0,309
outbreaker,309,0,309
seqminer,308,1,309
bindata,294,15,309
eigenmodel,284,25,309
eigenmodel,284,25,309
MasterBayes,266,43,309
AsioHeaders,193,116,309
derivmkts,308,0,308
minimaxdesign,308,0,308
RcmdrPlugin.EBM,308,0,308
acc,308,0,308
PairwiseD,308,0,308
pdfCluster,308,0,308
edgebundleR,308,0,308
NISTunits,294,14,308
lgarch,216,92,308
lgarch,216,92,308
RcmdrPlugin.BiclustGUI,307,0,307
ABCoptim,307,0,307
ivprobit,307,0,307
moveHMM,307,0,307
lagged,307,0,307
tuber,307,0,307
recmap,307,0,307
graphicalVAR,307,0,307
gnumeric,297,10,307
bvpSolve,274,33,307
smoothSurv,267,40,307
PhysicalActivity,248,59,307
TripleR,248,59,307
deltaPlotR,220,87,307
survsim,306,0,306
gfmR,306,0,306
neat,306,0,306
ecespa,306,0,306
datetime,306,0,306
miRNAss,306,0,306
gogarch,306,0,306
manipulateWidget,289,17,306
birk,275,31,306
risksetROC,249,57,306
approximator,224,82,306
DAMOCLES,305,0,305
metabolomics,305,0,305
covmat,305,0,305
earlywarnings,305,0,305
qiimer,305,0,305
gaussquad,261,44,305
lgtdl,258,47,305
iteRates,304,0,304
LSAfun,304,0,304
qqtest,304,0,304
deconstructSigs,304,0,304
coxphf,304,0,304
waterData,304,0,304
CompRandFld,304,0,304
glarma,304,0,304
superheat,304,0,304
preText,304,0,304
castor,304,0,304
CEoptim,298,6,304
foba,207,97,304
SparseGrid,189,115,304
MultiLCIRT,152,152,304
Exact,134,170,304
aster2,303,0,303
rapport,303,0,303
icenReg,303,0,303
PanJen,303,0,303
dotenv,303,0,303
pcadapt,303,0,303
tableplot,300,3,303
entropart,273,30,303
gsmoothr,181,122,303
Rlof,302,0,302
MatrixCorrelation,302,0,302
VarfromPDB,302,0,302
PerMallows,302,0,302
neural,302,0,302
Rsomoclu,302,0,302
brlrmr,302,0,302
OptionPricing,302,0,302
rtop,302,0,302
mixdist,297,5,302
SNFtool,291,11,302
maxnet,301,0,301
evmix,301,0,301
timeROC,301,0,301
BurStMisc,301,0,301
Rcapture,289,12,301
iECAT,300,0,300
prevalence,300,0,300
qtlcharts,300,0,300
granova,300,0,300
uroot,293,7,300
geigen,268,32,300
frmqa,299,0,299
RStata,299,0,299
shinyRGL,299,0,299
REndo,299,0,299
httk,299,0,299
ibmdbR,299,0,299
R330,299,0,299
manhattanly,298,0,298
Compositional,298,0,298
umx,298,0,298
glmmTMB,298,0,298
vardpoor,295,3,298
monmlp,294,4,298
HiddenMarkov,289,9,298
ExPosition,265,33,298
adaptDA,297,0,297
cccd,297,0,297
rwunderground,297,0,297
packcircles,297,0,297
edgar,297,0,297
riv,297,0,297
REEMtree,297,0,297
REEMtree,297,0,297
hyperdirichlet,297,0,297
rsvd,297,0,297
marked,274,23,297
marked,274,23,297
mvna,250,47,297
rocc,249,48,297
install.load,215,82,297
oddsratio,296,0,296
brainwaver,296,0,296
CAvariants,296,0,296
datarobot,296,0,296
fourPNO,296,0,296
MSGARCH,296,0,296
lvplot,296,0,296
pbmcapply,290,6,296
rje,235,61,296
mcGlobaloptim,223,73,296
RSVGTipsDevice,214,82,296
refund,165,131,296
ExtremeBounds,295,0,295
brainGraph,295,0,295
tablaxlsx,295,0,295
MortalitySmooth,292,3,295
geospacom,270,25,295
lassoshooting,257,38,295
redland,194,101,295
IRISMustangMetrics,294,0,294
cdata,294,0,294
hybridHclust,294,0,294
surface,294,0,294
powerSurvEpi,294,0,294
SLHD,294,0,294
flexCWM,294,0,294
wikipediatrend,294,0,294
micEconSNQP,294,0,294
BioStatR,294,0,294
asnipe,294,0,294
kdetrees,294,0,294
GeoLight,278,16,294
MHadaptive,276,18,294
TFX,293,0,293
intReg,293,0,293
jaatha,293,0,293
rDEA,293,0,293
spectral,293,0,293
XGR,293,0,293
conover.test,293,0,293
BACCO,293,0,293
ACD,293,0,293
randomGLM,293,0,293
cp4p,293,0,293
RDS,293,0,293
OECD,293,0,293
ebal,282,11,293
phonTools,231,62,293
fauxpas,208,85,293
ETLUtils,292,0,292
ordinalNet,292,0,292
micromap,292,0,292
RcmdrPlugin.Export,292,0,292
AmericanCallOpt,292,0,292
kriging,281,11,292
mockery,271,21,292
ezsim,262,30,292
compoisson,231,61,292
ica,218,74,292
soilDB,176,116,292
coneproj,148,144,292
operators,74,218,292
trelliscope,291,0,291
batch,291,0,291
GSODR,291,0,291
MixSIAR,291,0,291
GCPM,291,0,291
httpRequest,290,1,291
tagcloud,225,66,291
ClickClust,151,140,291
orloca,70,221,291
ACDm,290,0,290
xxIRT,290,0,290
TeXCheckR,290,0,290
GEVStableGarch,286,4,290
ConvergenceConcepts,284,6,290
mcmcse,276,14,290
lqmm,272,18,290
gepaf,188,102,290
swfscMisc,137,153,290
PhViD,289,0,289
matrixpls,289,0,289
Rd2roxygen,289,0,289
PTAk,289,0,289
crunchy,289,0,289
phtt,289,0,289
optimization,289,0,289
blockcluster,289,0,289
lle,285,4,289
clues,283,6,289
crunch,190,99,289
gptk,180,109,289
acss.data,116,173,289
spatgraphs,82,207,289
schoRsch,288,0,288
lmm,288,0,288
DGCA,288,0,288
schumaker,288,0,288
GeneralizedUmatrix,288,0,288
prospectr,277,11,288
stR,287,0,287
ivpanel,287,0,287
ndjson,287,0,287
HyPhy,287,0,287
ADPclust,287,0,287
AdaptGauss,287,0,287
gumbel,287,0,287
mapStats,287,0,287
bpcp,260,27,287
laGP,205,82,287
RLumShiny,198,89,287
nlmrt,181,106,287
rebus.unicode,34,253,287
BayesDA,286,0,286
dsm,286,0,286
seg,286,0,286
multicmp,286,0,286
compeir,286,0,286
ShinyItemAnalysis,286,0,286
scatterpie,286,0,286
NHMSAR,286,0,286
rCUR,286,0,286
tm.plugin.mail,286,0,286
ROI.plugin.ecos,271,15,286
httpcache,231,55,286
SSDforR,285,0,285
phrasemachine,285,0,285
condvis,285,0,285
roahd,285,0,285
autovarCore,285,0,285
bentcableAR,285,0,285
visualize,285,0,285
eba,285,0,285
KernSmoothIRT,285,0,285
ivlewbel,285,0,285
onion,285,0,285
ZIM,281,4,285
datacheckr,276,9,285
RNiftyReg,274,11,285
RNiftyReg,274,11,285
spThin,188,97,285
pmc,152,133,285
SurvRegCensCov,284,0,284
mada,284,0,284
sme,284,0,284
spfrontier,284,0,284
FHDI,284,0,284
FinancialMath,284,0,284
FinancialMath,284,0,284
performanceEstimation,284,0,284
CARBayesST,284,0,284
VarSwapPrice,284,0,284
BootPR,284,0,284
sperrorest,284,0,284
RcmdrPlugin.qual,284,0,284
treeClust,280,4,284
aftgee,273,11,284
APfun,247,37,284
hett,238,46,284
gglasso,227,57,284
NHPoisson,221,63,284
MTurkR,168,116,284
expoTree,283,0,283
locits,283,0,283
ivbma,283,0,283
thief,283,0,283
longpower,283,0,283
influence.SEM,283,0,283
kza,283,0,283
kza,283,0,283
congressbr,283,0,283
Biodem,283,0,283
matconv,283,0,283
coalescentMCMC,283,0,283
RcppCNPy,280,3,283
BIOM.utils,251,32,283
rkt,249,34,283
Rphylip,282,0,282
commandr,282,0,282
GetHFData,282,0,282
asremlPlus,282,0,282
hwwntest,282,0,282
simba,282,0,282
TideHarmonics,282,0,282
chemCal,282,0,282
multgee,276,6,282
equate,268,14,282
clpAPI,247,35,282
ExtDist,281,0,281
mut,281,0,281
crp.CSFP,281,0,281
EMA,281,0,281
MethComp,281,0,281
tiger,251,30,281
argosfilter,240,41,281
wellknown,230,51,281
LBSPR,224,57,281
SwarmSVM,192,89,281
rags2ridges,85,196,281
RcmdrPlugin.EACSPIR,280,0,280
BGData,280,0,280
CDFt,280,0,280
DiscML,280,0,280
pco,280,0,280
ivfixed,280,0,280
pairwise,280,0,280
epade,280,0,280
Rd2md,280,0,280
europepmc,280,0,280
distrTeach,62,218,280
commonsMath,279,0,279
dlmodeler,279,0,279
ggparallel,279,0,279
reutils,279,0,279
RootsExtremaInflections,279,0,279
qualtRics,279,0,279
credule,279,0,279
okcupiddata,279,0,279
andrews,279,0,279
slim,279,0,279
mpath,263,16,279
hitandrun,255,24,279
fslr,179,100,279
cointReg,152,127,279
NanoStringNorm,138,141,279
tawny.types,100,179,279
Tides,278,0,278
Nippon,278,0,278
sparkTable,278,0,278
tawny,244,34,278
survRM2,178,100,278
aws,109,169,278
rebus.datetimes,37,241,278
keyringr,277,0,277
RcmdrPlugin.coin,277,0,277
rtable,277,0,277
Stem,277,0,277
FHtest,277,0,277
FeedbackTS,277,0,277
ClustVarLV,277,0,277
binomen,277,0,277
genlasso,243,34,277
GenOrd,223,54,277
funHDDC,157,120,277
bcrm,276,0,276
semsfa,276,0,276
RSDA,276,0,276
Rlabkey,276,0,276
addhazard,276,0,276
mixRasch,276,0,276
mcga,276,0,276
blockrand,276,0,276
brranching,268,8,276
normalp,261,15,276
ncdf4.helpers,247,29,276
MPDiR,213,63,276
mvbutils,205,71,276
RaschSampler,275,0,275
rmcfs,275,0,275
JMbayes,275,0,275
PHYLOGR,275,0,275
grattan,275,0,275
NetData,275,0,275
ycinterextra,224,51,275
fulltext,222,53,275
sae,174,101,275
rebus.numbers,32,243,275
additivityTests,274,0,274
bda,274,0,274
CommonTrend,274,0,274
POT,274,0,274
migest,274,0,274
PivotalR,274,0,274
kfigr,274,0,274
BBMM,274,0,274
mcbiopi,274,0,274
HSAR,274,0,274
Fragman,274,0,274
BayHaz,274,0,274
logitnorm,269,5,274
tmle,259,15,274
EcoVirtual,209,65,274
ggiraphExtra,273,0,273
BCE,273,0,273
bcpa,273,0,273
FastKNN,273,0,273
BTYDplus,273,0,273
clustrd,273,0,273
GetTDData,273,0,273
face,273,0,273
aqfig,273,0,273
adaptiveGPCA,273,0,273
iptools,271,2,273
GenBinomApps,270,3,273
webmockr,266,7,273
SDaA,253,20,273
RApiSerialize,157,116,273
phyext2,153,120,273
hdnom,272,0,272
isdals,272,0,272
anonymizer,272,0,272
synthpop,272,0,272
AggregateR,272,0,272
SamplingStrata,272,0,272
AggregateR,272,0,272
aTSA,272,0,272
diffobj,265,7,272
linkcomm,253,19,272
astrochron,242,30,272
peperr,239,33,272
anesrake,234,38,272
protiq,222,50,272
trapezoid,200,72,272
RND,271,0,271
ColorPalette,271,0,271
CMC,271,0,271
RcmdrPlugin.SCDA,271,0,271
MarkowitzR,271,0,271
FieldSim,271,0,271
gwrr,271,0,271
statebins,271,0,271
solaR,271,0,271
rdlocrand,271,0,271
pps,104,167,271
abcdeFBA,270,0,270
breakfast,270,0,270
rfUtilities,270,0,270
scorer,270,0,270
GMDH,270,0,270
dCovTS,270,0,270
msSurv,270,0,270
dCovTS,270,0,270
AdapEnetClass,270,0,270
SDD,269,1,270
tripEstimation,261,9,270
MonetDB.R,248,22,270
GenomicTools,227,43,270
GenomicTools,227,43,270
fuzzr,269,0,269
boxplotdbl,269,0,269
HadoopStreaming,269,0,269
drm,269,0,269
PhylogeneticEM,269,0,269
PhylogeneticEM,269,0,269
anMC,269,0,269
Bayesthresh,269,0,269
protoclust,269,0,269
compareC,269,0,269
onemap,269,0,269
RcmdrPlugin.doex,269,0,269
bandit,269,0,269
RcmdrPlugin.RMTCJags,269,0,269
stream,134,135,269
ApacheLogProcessor,268,0,268
PANDA,268,0,268
bspmma,268,0,268
bqtl,268,0,268
bqtl,268,0,268
webchem,268,0,268
DTK,184,84,268
CRF,182,86,268
dataQualityR,267,0,267
funFEM,267,0,267
RcmdrPlugin.NMBU,267,0,267
MPTinR,267,0,267
HotDeckImputation,257,10,267
pbs,142,125,267
pbs,142,125,267
RcmdrPlugin.orloca,266,0,266
gpg,266,0,266
multinomRob,266,0,266
aplore3,266,0,266
rLTP,266,0,266
ANOM,266,0,266
spectral.methods,266,0,266
RcmdrPlugin.mosaic,266,0,266
ExcessMass,266,0,266
mipfp,266,0,266
DFIT,266,0,266
madness,266,0,266
FisherEM,266,0,266
ssfa,266,0,266
cmrutils,249,17,266
spacom,241,25,266
EGRET,91,175,266
splusTimeDate,30,236,266
markophylo,265,0,265
pim,265,0,265
asd,265,0,265
RcmdrPlugin.sampling,265,0,265
readtext,265,0,265
ebdbNet,265,0,265
BayesSummaryStatLM,265,0,265
shazam,244,21,265
superbiclust,181,84,265
tigger,264,0,264
gdm,264,0,264
LSMonteCarlo,264,0,264
BNPTSclust,264,0,264
crandatapkgs,264,0,264
doFuture,264,0,264
cbsodataR,264,0,264
PTXQC,264,0,264
costat,264,0,264
bfp,264,0,264
ivmodel,264,0,264
eco,264,0,264
shinymaterial,264,0,264
AIM,263,0,263
accelerometry,263,0,263
binomSamSize,263,0,263
BaSTA,263,0,263
abcrf,263,0,263
PortRisk,263,0,263
opera,263,0,263
dlsem,263,0,263
clusterRepro,263,0,263
BayesFM,263,0,263
dendsort,258,5,263
lsei,245,18,263
biogram,235,28,263
rgr,213,50,263
lisp,165,98,263
PSAgraphics,115,148,263
nets,262,0,262
Rlibeemd,262,0,262
imputeMissings,262,0,262
optiRum,262,0,262
glmnetUtils,262,0,262
BCBCSF,262,0,262
imp4p,262,0,262
LIM,261,1,262
metacom,255,7,262
LICORS,224,38,262
rsem,217,45,262
plsRcox,203,59,262
bayesPop,143,119,262
aprof,261,0,261
widgetframe,261,0,261
wahc,261,0,261
STAR,261,0,261
RobLoxBioC,261,0,261
fbRads,261,0,261
pa,261,0,261
MANOVA.RM,261,0,261
quickpsy,261,0,261
labstatR,261,0,261
exactLoglinTest,261,0,261
carx,261,0,261
usmap,261,0,261
CopyDetect,254,7,261
measurements,243,18,261
svyPVpack,193,68,261
regpro,140,121,261
ipw,260,0,260
pampe,260,0,260
convey,260,0,260
TCGA2STAT,260,0,260
metaMA,259,1,260
LCA,256,4,260
tpr,248,12,260
WWGbook,240,20,260
sybil,111,149,260
GriegSmith,259,0,259
cricketr,259,0,259
predictmeans,259,0,259
hdeco,259,0,259
pastis,259,0,259
schwartz97,259,0,259
sommer,259,0,259
edgeRun,259,0,259
BiplotGUI,259,0,259
translate,259,0,259
UScensus2000tract,259,0,259
gdpc,259,0,259
fractalrock,258,0,258
wakefield,258,0,258
RcmdrPlugin.depthTools,258,0,258
REDCapR,258,0,258
nplr,258,0,258
simmer.plot,258,0,258
sca,258,0,258
hddplot,258,0,258
optrees,254,4,258
PottsUtils,244,14,258
aylmer,226,32,258
vines,215,43,258
svgPanZoom,214,44,258
canvasXpress,257,0,257
canvasXpress,257,0,257
cocron,257,0,257
stepR,257,0,257
hddtools,257,0,257
Dowd,257,0,257
acnr,257,0,257
coop,257,0,257
EcoSimR,257,0,257
aspect,257,0,257
Biograph,257,0,257
coop,257,0,257
sophisthse,257,0,257
GMMBoost,257,0,257
gear,257,0,257
ctmcmove,257,0,257
protViz,257,0,257
bbemkr,257,0,257
kernelFactory,226,31,257
grr,158,99,257
MIIVsem,256,0,256
rucm,256,0,256
phaseR,256,0,256
session,256,0,256
lm.br,256,0,256
lans2r,256,0,256
lans2r,256,0,256
MST,256,0,256
kequate,256,0,256
readbulk,252,4,256
FITSio,245,11,256
speaq,243,13,256
pedigreemm,236,20,256
locfdr,224,32,256
locfdr,224,32,256
s4vd,194,62,256
powerMediation,171,85,256
ROptEst,16,240,256
BayesValidate,255,0,255
ReIns,255,0,255
liftr,255,0,255
emIRT,255,0,255
TOSTER,255,0,255
cds,255,0,255
MODIStsp,255,0,255
js,250,5,255
optpart,216,39,255
objectSignals,73,182,255
quickmapr,254,0,254
exifr,254,0,254
RcmdrPlugin.plotByGroup,254,0,254
bcrypt,254,0,254
metScanR,254,0,254
nasaweather,254,0,254
coga,254,0,254
retimes,254,0,254
arrayhelpers,250,4,254
cmm,199,55,254
GWRM,196,58,254
rmsfact,185,69,254
futile.any,98,156,254
gridGraphviz,66,188,254
chunked,253,0,253
cowsay,253,0,253
tractor.base,253,0,253
shinybootstrap2,253,0,253
splusTimeSeries,253,0,253
simule,253,0,253
pid,253,0,253
ProbitSpatial,253,0,253
rlm,253,0,253
dpmixsim,253,0,253
mcsm,253,0,253
bshazard,253,0,253
compound.Cox,253,0,253
VAR.etp,253,0,253
Anthropometry,253,0,253
AntWeb,252,1,253
breathtestcore,215,38,253
learningr,252,0,252
mrgsolve,252,0,252
bamdit,252,0,252
eegkit,252,0,252
list,252,0,252
support.CEs,252,0,252
animalTrack,252,0,252
RKEA,252,0,252
giphyr,252,0,252
StAMPP,252,0,252
vec2dtransf,252,0,252
DynNom,252,0,252
cents,252,0,252
wkb,214,38,252
Flury,169,83,252
bigalgebra,128,124,252
distrSim,37,215,252
texmex,251,0,251
propr,251,0,251
tvm,251,0,251
ESG,251,0,251
casebase,251,0,251
ESG,251,0,251
R2PPT,251,0,251
dynsurv,251,0,251
SNSequate,251,0,251
TSMining,251,0,251
coxphw,251,0,251
AEDForecasting,251,0,251
thregI,251,0,251
ACTCD,246,5,251
biwt,239,12,251
mtsdi,224,27,251
PROscorerTools,221,30,251
apa,250,0,250
bc3net,250,0,250
AbsFilterGSEA,250,0,250
quantspec,250,0,250
bmeta,250,0,250
NetworkRiskMeasures,250,0,250
ecoengine,249,1,250
bcRep,127,123,250
cpm,249,0,249
cacIRT,249,0,249
agRee,249,0,249
gems,249,0,249
evclass,249,0,249
geohash,249,0,249
BVS,249,0,249
apc,249,0,249
CHsharp,249,0,249
AUCRF,246,3,249
picasso,224,25,249
SharpeR,223,26,249
SharpeR,223,26,249
SiZer,212,37,249
PerfMeas,202,47,249
FuzzyNumbers,128,121,249
nat.utils,127,122,249
Cyclops,248,0,248
perARMA,248,0,248
rLiDAR,248,0,248
rAltmetric,248,0,248
gsarima,248,0,248
RNCEP,248,0,248
arabicStemR,248,0,248
L1pack,248,0,248
mixexp,248,0,248
googleComputeEngineR,248,0,248
freqdom,220,28,248
tm.plugin.factiva,216,32,248
ExplainPrediction,184,64,248
svcm,119,129,248
randomForest.ddR,247,0,247
astro,247,0,247
BayesNetBP,247,0,247
RcmdrPlugin.EcoVirtual,247,0,247
FinAsym,247,0,247
eulerr,247,0,247
medflex,247,0,247
graphTweets,247,0,247
nlts,247,0,247
ALDqr,247,0,247
LogicForest,218,29,247
relsurv,196,51,247
logmult,246,0,246
blocksdesign,246,0,246
gamlss.inf,246,0,246
StreamMetabolism,246,0,246
genderizeR,246,0,246
shp2graph,246,0,246
discSurv,246,0,246
odeintr,246,0,246
ROI.plugin.nloptr,246,0,246
